Wavelength,Intensity
809.04,10.04,0.00
810.00,10.13,0.00
810.95,10.33,0.00
812.05,10.72,0.00
813.01,10.80,0.00
813.97,10.56,0.00
815.06,10.66,0.00
816.02,9.90,00.00
816.98,9.99,0.00
817.94,10.14,0.00
819.04,10.24,0.00
820.00,10.07,0.00
820.94,10.03,0.00
822.02,10.10,0.00
822.97,10.07,0.00
824.05,10.16,0.00
825.00,10.11,0.00
825.94,10.05,0.00
827.02,9.67,0.00
827.97,10.09,0.00
829.05,10.09,0.00
830.00,9.95,0.00
830.94,9.85,0.00
832.02,9.59,0.00
832.97,9.93,0.00
834.05,9.46,0.00
835.00,9.28,0.00
835.94,9.26,0.00
837.02,9.19,0.00
837.97,9.24,0.00
839.05,9.38,0.00
840.00,8.95,0.00
840.94,9.47,0.00
842.02,9.26,0.00
842.97,8.86,0.00
844.05,8.98,0.00
845.00,8.67,0.00
845.94,8.55,0.00
847.02,8.60,0.00
847.97,8.84,0.00
849.05,8.34,0.00
850.00,8.52,0.00
851.06,8.24,0.00
852.00,8.09,0.00
853.06,8.02,0.00
854.00,7.93,0.00
855.06,7.74,0.00
856.00,7.54,0.00
857.06,7.60,0.00
858.00,7.40,0.00
859.06,7.70,0.00
860.00,6.78,0.00
861.06,6.81,0.00
862.00,6.90,0.00
863.06,6.96,0.00
864.00,6.86,0.00
865.06,6.44,0.00
866.00,6.37,0.00
867.06,6.27,0.00
868.00,6.14,0.00
869.06,5.96,0.00
870.00,5.97,0.00
871.05,6.06,0.00
871.97,5.53,0.00
873.02,5.76,0.00
873.94,5.38,0.00
875.00,5.20,0.00
876.05,5.49,0.00
876.97,5.39,0.00
878.02,4.78,0.00
878.94,5.09,0.00
880.00,4.97,0.00
881.06,4.85,0.00
882.00,4.57,0.00
883.06,4.64,0.00
884.00,4.55,0.00
885.06,4.22,0.00
886.00,4.25,0.00
887.06,4.27,0.00
888.00,4.12,0.00
889.06,4.27,0.00
890.00,3.92,0.00
891.03,3.66,0.00
891.94,3.50,0.00
892.98,3.64,0.00
894.02,3.66,0.00
895.06,3.41,0.00
895.97,3.38,0.00
897.01,3.14,0.00
898.05,3.24,0.00
898.96,3.26,0.00
900.00,3.06,0.00
901.05,3.22,0.00
901.97,2.95,0.00
903.02,3.08,0.00
903.94,2.65,0.00
905.00,2.68,0.00
906.05,2.75,0.00
906.97,2.66,0.00
908.02,2.57,0.00
908.94,2.68,0.00
910.00,2.42,0.00
911.03,2.33,0.00
911.94,2.31,0.00
912.98,2.39,0.00
914.02,2.39,0.00
915.06,2.26,0.00
915.97,2.10,0.00
917.01,1.98,0.00
918.05,1.85,0.00
918.96,1.88,0.00
920.00,1.95,0.00
921.03,1.75,0.00
921.94,1.88,0.00
922.98,1.78,0.00
924.02,1.69,0.00
925.06,1.67,0.00
925.97,1.62,0.00
927.01,1.61,0.00
928.05,1.57,0.00
928.96,1.48,0.00
